nume_actiune,timestamp
app_start,2025-05-30 18:59:40
menu_list_products,2025-05-30 18:59:49
app_exit,2025-05-30 18:59:53
app_start,2025-06-03 00:01:40
menu_add_category,2025-06-03 00:02:04
menu_list_products,2025-06-03 00:02:08
menu_list_categories,2025-06-03 00:02:15
menu_list_stock_logs,2025-06-03 00:02:31
app_start,2025-06-03 00:05:50
menu_list_products,2025-06-03 00:05:59
menu_sell_product,2025-06-03 00:06:11
menu_list_products,2025-06-03 00:06:13
menu_show_total_stock_value,2025-06-03 00:06:17
menu_list_products,2025-06-03 00:06:38
menu_add_product,2025-06-03 00:08:52
menu_list_products,2025-06-03 00:08:54
menu_list_by_supplier,2025-06-03 00:09:03
app_exit,2025-06-03 00:10:25
app_start,2025-06-03 00:11:01
menu_list_categories,2025-06-03 00:11:16
menu_list_by_supplier,2025-06-03 00:11:39
app_exit,2025-06-03 00:11:45
app_start,2025-06-03 01:25:18
menu_list_categories,2025-06-03 01:25:23
menu_list_suppliers,2025-06-03 01:25:26
menu_list_products,2025-06-03 01:25:31
menu_list_categories,2025-06-03 01:25:46
menu_list_suppliers,2025-06-03 01:25:54
menu_add_product,2025-06-03 01:26:06
menu_list_products,2025-06-03 01:26:20
app_exit,2025-06-03 01:26:38
app_start,2025-06-03 01:43:12
app_start,2025-06-03 01:43:18
menu_list_categories,2025-06-03 01:43:37
menu_list_suppliers,2025-06-03 01:43:44
menu_add_product,2025-06-03 01:43:56
menu_list_products,2025-06-03 01:44:10
menu_list_categories,2025-06-03 01:44:44
menu_list_suppliers,2025-06-03 01:44:51
app_start,2025-06-03 07:57:59
menu_add_category,2025-06-03 07:58:35
menu_list_categories,2025-06-03 07:58:39
